
### start test phase for MLP_HL:

epochs/idx:   1/ 171| loss: -0.001261| predLoss:  0.002| Sharpe: -0.270| gamma:  0.4942
epochs/idx:   1/ 172| loss: -0.000948| predLoss:  0.004| Sharpe: -0.211| gamma:  0.4942
epochs/idx:   1/ 173| loss: -0.000387| predLoss:  0.002| Sharpe: -0.089| gamma:  0.4942
epochs/idx:   1/ 174| loss:  0.000012| predLoss:  0.003| Sharpe: -0.011| gamma:  0.4942
epochs/idx:   1/ 175| loss:  0.000027| predLoss:  0.002| Sharpe: -0.003| gamma:  0.4942
epochs/idx:   1/ 176| loss:  0.000390| predLoss:  0.001| Sharpe:  0.074| gamma:  0.4942
epochs/idx:   1/ 177| loss:  0.000709| predLoss:  0.001| Sharpe:  0.137| gamma:  0.4942
epochs/idx:   1/ 178| loss:  0.000653| predLoss:  0.003| Sharpe:  0.119| gamma:  0.4942
epochs/idx:   1/ 179| loss: -0.000118| predLoss:  0.002| Sharpe: -0.036| gamma:  0.4942
epochs/idx:   1/ 180| loss: -0.000510| predLoss:  0.002| Sharpe: -0.113| gamma:  0.4942
epochs/idx:   1/ 181| loss:  0.000353| predLoss:  0.004| Sharpe:  0.050| gamma:  0.4942
epochs/idx:   1/ 182| loss:  0.000009| predLoss:  0.003| Sharpe: -0.011| gamma:  0.4942
epochs/idx:   1/ 183| loss:  0.000488| predLoss:  0.001| Sharpe:  0.093| gamma:  0.4942
epochs/idx:   1/ 184| loss:  0.000633| predLoss:  0.002| Sharpe:  0.117| gamma:  0.4942
epochs/idx:   1/ 185| loss:  0.000394| predLoss:  0.003| Sharpe:  0.064| gamma:  0.4942
epochs/idx:   1/ 186| loss: -0.000407| predLoss:  0.003| Sharpe: -0.097| gamma:  0.4942
epochs/idx:   1/ 187| loss: -0.000550| predLoss:  0.002| Sharpe: -0.122| gamma:  0.4942
epochs/idx:   1/ 188| loss: -0.000719| predLoss:  0.004| Sharpe: -0.166| gamma:  0.4942
epochs/idx:   1/ 189| loss: -0.001225| predLoss:  0.002| Sharpe: -0.260| gamma:  0.4942
epochs/idx:   1/ 190| loss: -0.001373| predLoss:  0.001| Sharpe: -0.286| gamma:  0.4942
epochs/idx:   1/ 191| loss: -0.001717| predLoss:  0.001| Sharpe: -0.357| gamma:  0.4942
epochs/idx:   1/ 192| loss: -0.001518| predLoss:  0.002| Sharpe: -0.319| gamma:  0.4942
epochs/idx:   1/ 193| loss: -0.001509| predLoss:  0.002| Sharpe: -0.319| gamma:  0.4942
epochs/idx:   1/ 194| loss: -0.001751| predLoss:  0.002| Sharpe: -0.366| gamma:  0.4942
epochs/idx:   1/ 195| loss: -0.001781| predLoss:  0.004| Sharpe: -0.382| gamma:  0.4942
epochs/idx:   1/ 196| loss: -0.002064| predLoss:  0.002| Sharpe: -0.431| gamma:  0.4942
epochs/idx:   1/ 197| loss: -0.003064| predLoss:  0.002| Sharpe: -0.636| gamma:  0.4942
epochs/idx:   1/ 198| loss: -0.003447| predLoss:  0.002| Sharpe: -0.711| gamma:  0.4942
epochs/idx:   1/ 199| loss: -0.003774| predLoss:  0.001| Sharpe: -0.777| gamma:  0.4942
epochs/idx:   1/ 200| loss: -0.004079| predLoss:  0.002| Sharpe: -0.843| gamma:  0.4942
epochs/idx:   1/ 201| loss: -0.002484| predLoss:  0.004| Sharpe: -0.528| gamma:  0.4942
epochs/idx:   1/ 202| loss: -0.001743| predLoss:  0.002| Sharpe: -0.366| gamma:  0.4942
epochs/idx:   1/ 203| loss: -0.001570| predLoss:  0.001| Sharpe: -0.324| gamma:  0.4942
epochs/idx:   1/ 204| loss: -0.000224| predLoss:  0.001| Sharpe: -0.051| gamma:  0.4942

 portfolio sharpe-ratio:              0.20

 total time: 70.81 seconds.

 finish.
